4.0,14.0,4.0,4.0
12.0,-23.0,2.0,11.0
-14.0,14.0,19.0,14.0
15.0,-23.0,17.0,20.0
2.0,-3.0,-19.0,-23.0
11.0,-10.0,10.0,-12.0
19.0,-12.0,1.0,12.0
19.0,10.0,-8.0,-25.0
-6.0,7.0,13.0,-7.0
-4.0,-24.0,18.0,0.0
-12.0,21.0,23.0,4.0
-11.0,23.0,-13.0,19.0
5.0,23.0,12.0,-19.0
-18.0,-13.0,-6.0,3.0
22.0,10.0,10.0,12.0
-22.0,12.0,10.0,-14.0
7.0,-2.0,-25.0,18.0
15.0,-19.0,-16.0,2.0
-7.0,-12.0,-2.0,19.0
-17.0,-15.0,14.0,3.0
-22.0,12.0,-7.0,21.0
7.0,1.0,23.0,-13.0
-16.0,-17.0,-17.0,8.0
-8.0,1.0,24.0,-17.0
14.0,2.0,-17.0,-15.0
24.0,-20.0,-7.0,-20.0
5.0,-20.0,-13.0,-18.0
-13.0,-21.0,17.0,14.0
-8.0,-19.0,24.0,-10.0
-1.0,0.0,-18.0,8.0
-14.0,-24.0,16.0,7.0
-18.0,-15.0,14.0,8.0
-1.0,-23.0,-16.0,20.0
15.0,-2.0,-4.0,-12.0
-14.0,15.0,6.0,11.0
10.0,-20.0,20.0,4.0
3.0,17.0,-14.0,20.0
-15.0,18.0,13.0,6.0
4.0,3.0,-4.0,-22.0
-12.0,14.0,20.0,-11.0
-24.0,3.0,-16.0,-1.0
-3.0,-20.0,4.0,13.0
24.0,-2.0,-13.0,16.0
1.0,16.0,16.0,18.0
-15.0,-4.0,-12.0,7.0
18.0,-15.0,1.0,-22.0
21.0,-17.0,18.0,13.0
18.0,22.0,0.0,-5.0
-16.0,4.0,-5.0,20.0
